id,school_name,program_name,faculty,required_subjects,minimum_points,duration,description,career_category,created_at,min_o_level_passes,min_a_level_passes,program_type,required_o_level_subjects,campus,min_required_subjects
207,Harare Polytechnic,National Diploma in Radio & TV Production,Arts,[],0,3 years,"Broadcasting, editing and studio operations",Media & Communication,1773752031,5,0,diploma,"[""English Language""]",Harare,
208,Harare Polytechnic,National Diploma in Interior Design,Arts,[],0,3 years,"Space planning, materials and residential design",Media & Communication,1773752031,5,0,diploma,"[""English Language""]",Harare,
209,Kwekwe Polytechnic,National Diploma in Mine Surveying,Engineering,[],0,3 years,"Surveying instruments, mine mapping and safety compliance",Engineering,1773752031,5,0,diploma,"[""English Language"",""Mathematics"",""Science""]",Kwekwe,
210,Kwekwe Polytechnic,National Diploma in Analytical Chemistry,Science,[],0,3 years,"Instrumentation, quality control and environmental analysis",Science,1773752031,5,0,diploma,"[""English Language"",""Mathematics"",""Science""]",Kwekwe,
211,Masvingo Polytechnic,National Diploma in Public Relations,Business,[],0,3 years,"Corporate communications, crisis management and branding",Media & Communication,1773752031,5,0,diploma,"[""English Language""]",Masvingo,
212,Masvingo Polytechnic,National Diploma in Applied Art,Arts,[],0,3 years,"Sculpture, painting and digital art",Media & Communication,1773752031,5,0,diploma,"[""English Language""]",Masvingo,
213,Catholic University of Zimbabwe,BSc Psychology,Social Sciences,"[""Biology"",""English Literature""]",7,4 years,"Clinical, organizational and community psychology",Healthcare,1773752031,5,2,degree,"[""English Language""]",Harare,
214,Catholic University of Zimbabwe,BSc Disaster Management,Social Sciences,"[""Geography"",""History""]",6,4 years,"Emergency response, humanitarian logistics and recovery",Social Sciences,1773752031,5,2,degree,"[""English Language"",""Geography""]",Harare,
215,Womens University in Africa,BSc Sociology,Social Sciences,"[""English Literature"",""History""]",5,4 years,"Gender, family studies and social policy",Social Sciences,1773752031,5,2,degree,"[""English Language""]",Harare,
216,Womens University in Africa,BA Media Studies,Arts,"[""English Literature"",""History""]",6,4 years,"Digital media, journalism and public communication",Media & Communication,1773752031,5,2,degree,"[""English Language""]",Harare,
217,Reformed Church University,BSc Agricultural Economics,Agriculture,"[""Mathematics"",""Accounts""]",6,4 years,"Farm finance, policy and rural development",Agriculture,1773752031,5,2,degree,"[""English Language"",""Mathematics""]",Masvingo,
218,Reformed Church University,BSc Community Development,Social Sciences,"[""English Literature"",""History""]",5,4 years,"NGO management, fundraising and grassroots projects",Social Sciences,1773752031,5,2,degree,"[""English Language""]",Masvingo,
219,Bindura University of Science Education,BSc Mathematics,Science,"[""Mathematics"",""Physics""]",8,4 years,"Pure and applied mathematics, statistics and modeling",Science,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Bindura,
220,Bindura University of Science Education,BEd Technical Education,Education,"[""Mathematics"",""Physics""]",7,4 years,"Teaching woodwork, metalwork and technical drawing",Education,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Bindura,
221,Chinhoyi University of Technology,BSc Supply Chain Management,Business,"[""Mathematics"",""Accounts""]",7,4 years,"Procurement, inventory and logistics systems",Business & Finance,1773752031,5,2,degree,"[""English Language"",""Mathematics""]",Chinhoyi,
222,Chinhoyi University of Technology,BEng Software Engineering,Technology,"[""Mathematics"",""Physics""]",9,4 years,"Software design, testing and project management",Technology,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Chinhoyi,
223,National University of Science & Technology (NUST),BSc Radiography,Medicine,"[""Biology"",""Physics""]",11,4 years,"Medical imaging, X-ray and MRI technology",Healthcare,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Bulawayo,
224,National University of Science & Technology (NUST),BSc Industrial Psychology,Social Sciences,"[""Mathematics"",""English Literature""]",7,4 years,"Employee motivation, organizational development and HR",Business & Finance,1773752031,5,2,degree,"[""English Language"",""Mathematics""]",Bulawayo,
225,Africa University,BSc Nutrition & Dietetics,Medicine,"[""Biology"",""Chemistry""]",8,4 years,"Clinical nutrition, community health and food service",Healthcare,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Mutare,
226,Africa University,BSc Economics,Business,"[""Mathematics"",""Accounts""]",8,4 years,"Development economics, trade policy and econometrics",Business & Finance,1773752031,5,2,degree,"[""English Language"",""Mathematics""]",Mutare,
227,Great Zimbabwe University,BSc Music & Performance,Arts,"[""English Literature"",""History""]",5,4 years,"Music production, ethnomusicology and performance",Media & Communication,1773752031,5,2,degree,"[""English Language""]",Masvingo,
228,Great Zimbabwe University,BCom Marketing,Business,"[""Mathematics"",""Accounts""]",6,4 years,"Digital marketing, consumer behavior and brand strategy",Business & Finance,1773752031,5,2,degree,"[""English Language"",""Mathematics""]",Masvingo,
229,TelOne Centre for Learning,Short Course in Python Programming,Technology,[],0,3 months,"Introductory coding, data structures and automation",Technology,1773820276,0,0,short_course,"[""Basic computer literacy""]",Online,
230,TelOne Centre for Learning,Short Course in Cybersecurity Awareness,Technology,[],0,2 months,"Phishing, password security and safe browsing",Technology,1773820276,0,0,short_course,"[""None""]",Online,
231,Harare Institute of Technology,BSc Nanotechnology,Science,"[""Physics"",""Chemistry""]",11,4 years,"Materials science, quantum dots and medical applications",Technology,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Harare,
232,Harare Institute of Technology,BEng Biomedical Engineering,Engineering,"[""Biology"",""Physics""]",12,4 years,"Medical devices, prosthetics and imaging systems",Engineering,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Harare,
233,Midlands State University,BSc Public Administration,Social Sciences,"[""English Literature"",""History""]",5,4 years,"Government policy, public finance and administration",Social Sciences,1773752031,5,2,degree,"[""English Language""]",Gweru,
234,Midlands State University,BSc International Relations,Social Sciences,"[""History"",""English Literature""]",6,4 years,"Diplomacy, global governance and foreign policy",Social Sciences,1773752031,5,2,degree,"[""English Language""]",Gweru,
235,Lupane State University,BSc Fisheries & Aquaculture,Agriculture,"[""Biology"",""Chemistry""]",6,4 years,"Fish farming, pond management and hatchery tech",Agriculture,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Lupane,
236,Lupane State University,BSc Information Systems,Technology,"[""Mathematics"",""Accounts""]",7,4 years,"Database design, systems analysis and IT strategy",Technology,1773752031,5,2,degree,"[""English Language"",""Mathematics""]",Lupane,
237,Zimbabwe Open University,Diploma in NGO Management,Social Sciences,[],0,2 years,"Funding proposals, volunteer coordination and M&E",Social Sciences,1773752031,5,0,diploma,"[""English Language""]",All Provinces,
238,Zimbabwe Open University,Certificate in ICT,Technology,[],0,1 year,"MS Office, internet basics and email communication",Technology,1773752031,5,0,certificate,"[""English Language""]",All Provinces,
239,Bulawayo Polytechnic,National Diploma in Furniture Design,Arts,[],0,3 years,"Woodworking, joinery and CAD furniture design",Media & Communication,1773752031,5,0,diploma,"[""English Language""]",Bulawayo,
240,Bulawayo Polytechnic,National Diploma in Dental Assisting,Medicine,[],0,3 years,"Chairside assistance, sterilization and patient care",Healthcare,1773752031,5,0,diploma,"[""English Language"",""Mathematics"",""Science""]",Bulawayo,
241,Harare Polytechnic,National Diploma in Leather Technology,Science,[],0,3 years,"Tanning, finishing and leather product manufacturing",Agriculture,1773752031,5,0,diploma,"[""English Language"",""Mathematics"",""Science""]",Harare,
242,Harare Polytechnic,National Diploma in Business Administration,Business,[],0,3 years,"Office management, communication and record keeping",Business & Finance,1773752031,5,0,diploma,"[""English Language"",""Mathematics""]",Harare,
243,Kwekwe Polytechnic,National Diploma in Jewellery Design,Arts,[],0,3 years,"Metalworking, gem setting and casting",Media & Communication,1773752031,5,0,diploma,"[""English Language""]",Kwekwe,
244,Kwekwe Polytechnic,National Diploma in Industrial Microbiology,Science,[],0,3 years,"Fermentation, sterility testing and lab safety",Science,1773752031,5,0,diploma,"[""English Language"",""Mathematics"",""Science""]",Kwekwe,
245,Masvingo Polytechnic,National Diploma in Accounting,Business,[],0,3 years,"Bookkeeping, financial statements and tax",Business & Finance,1773752031,5,0,diploma,"[""English Language"",""Mathematics""]",Masvingo,
246,Masvingo Polytechnic,National Diploma in Human Resources Management,Business,[],0,3 years,"Recruitment, performance management and labor relations",Business & Finance,1773752031,5,0,diploma,"[""English Language"",""Mathematics""]",Masvingo,
247,Catholic University of Zimbabwe,BSc Economics,Commerce,"[""Mathematics"",""Accounts""]",8,4 years,"Micro/macroeconomics, development finance and policy",Business & Finance,1773752031,5,2,degree,"[""English Language"",""Mathematics""]",Harare,
248,Catholic University of Zimbabwe,BSc Philosophy & Ethics,Humanities,"[""English Literature"",""History""]",5,4 years,"Moral reasoning, critical thinking and applied ethics",Social Sciences,1773752031,5,2,degree,"[""English Language""]",Harare,
249,Womens University in Africa,BSc Entrepreneurship,Business,"[""Mathematics"",""Accounts""]",6,4 years,"Business planning, venture capital and SME growth",Business & Finance,1773752031,5,2,degree,"[""English Language"",""Mathematics""]",Harare,
250,Womens University in Africa,BSc Environmental Management,Science,"[""Biology"",""Geography""]",7,4 years,"Conservation, EIA and natural resource governance",Agriculture,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Harare,
251,Reformed Church University,BCom Banking & Finance,Business,"[""Mathematics"",""Accounts""]",7,4 years,"Credit analysis, investment and risk management",Business & Finance,1773752031,5,2,degree,"[""English Language"",""Mathematics""]",Masvingo,
252,Reformed Church University,BA History & Heritage,Humanities,"[""History"",""English Literature""]",5,4 years,"Archives, oral history and cultural tourism",Social Sciences,1773752031,5,2,degree,"[""English Language"",""History""]",Masvingo,
253,Bindura University of Science Education,BSc Biotechnology,Science,"[""Biology"",""Chemistry""]",9,4 years,"Genetic engineering, bioinformatics and research",Technology,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Bindura,
254,Bindura University of Science Education,BSc Statistics,Science,"[""Mathematics"",""Physics""]",8,4 years,"Data analysis, probability and econometric modeling",Science,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Bindura,
255,Chinhoyi University of Technology,BSc Tourism Management,Business,"[""Geography"",""English Literature""]",6,4 years,"Destination marketing, tour operations and hospitality",Business & Finance,1773752031,5,2,degree,"[""English Language"",""Mathematics""]",Chinhoyi,
256,Chinhoyi University of Technology,BSc Quantity Surveying,Engineering,"[""Mathematics"",""Physics""]",9,4 years,"Cost planning, contract admin and construction law",Engineering,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Chinhoyi,
257,National University of Science & Technology (NUST),BSc Physiotherapy,Medicine,"[""Biology"",""Physics""]",11,4 years,"Rehabilitation, movement science and patient care",Healthcare,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Bulawayo,
258,National University of Science & Technology (NUST),BSc Urban Design,Social Sciences,"[""Geography"",""Mathematics""]",8,4 years,"Public spaces, landscape architecture and planning",Engineering,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Geography""]",Bulawayo,
259,Africa University,BSc Social Work,Social Sciences,"[""English Literature"",""History""]",6,4 years,"Child protection, counseling and community practice",Social Sciences,1773752031,5,2,degree,"[""English Language""]",Mutare,
260,Africa University,BSc Information Systems,Technology,"[""Mathematics"",""Accounts""]",7,4 years,"ERP systems, database management and IT consulting",Technology,1773752031,5,2,degree,"[""English Language"",""Mathematics""]",Mutare,
261,Great Zimbabwe University,BSc Property Valuation,Commerce,"[""Mathematics"",""Accounts""]",7,4 years,"Real estate appraisal, investment and facilities mgt",Business & Finance,1773752031,5,2,degree,"[""English Language"",""Mathematics""]",Masvingo,
262,Great Zimbabwe University,BSc Geophysics,Science,"[""Physics"",""Mathematics""]",8,4 years,"Seismic exploration, mineral prospecting and remote sensing",Engineering,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Masvingo,
263,TelOne Centre for Learning,Diploma in Cloud Computing,Technology,[],0,3 years,"AWS, Azure, virtualization and cloud security",Technology,1773820276,5,0,diploma,"[""English Language"",""Mathematics"",""Science""]",Harare,
264,TelOne Centre for Learning,Certificate in Web Design,Technology,[],0,1 year,"HTML, CSS, JavaScript and responsive design",Technology,1773820276,5,0,certificate,"[""English Language"",""Mathematics""]",Online,
265,Harare Institute of Technology,BSc Artificial Intelligence & Robotics,Technology,"[""Mathematics"",""Physics""]",12,4 years,"Computer vision, autonomous systems and deep learning",Technology,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Harare,
266,Harare Institute of Technology,BSc Petroleum Engineering,Engineering,"[""Chemistry"",""Physics""]",13,5 years,"Drilling, reservoir engineering and refining",Engineering,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Harare,
267,Midlands State University,BSc Library & Information Science,Humanities,"[""English Literature"",""History""]",5,4 years,"Digital libraries, cataloguing and knowledge mgt",Social Sciences,1773752031,5,2,degree,"[""English Language""]",Gweru,
268,Midlands State University,BSc Occupational Therapy,Medicine,"[""Biology"",""Psychology""]",10,4 years,"Rehabilitation, ergonomics and mental health",Healthcare,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Gweru,
269,Lupane State University,BSc Crop Science,Agriculture,"[""Biology"",""Chemistry""]",7,4 years,"Plant breeding, soil science and pest management",Agriculture,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Lupane,
270,Lupane State University,BSc Rural Development,Social Sciences,"[""Geography"",""History""]",5,4 years,"Community projects, infrastructure and local governance",Social Sciences,1773752031,5,2,degree,"[""English Language""]",Lupane,
271,Zimbabwe Open University,Diploma in Early Childhood Education,Education,[],0,2 years,"ECD curriculum, child psychology and play-based learning",Education,1773752031,5,0,diploma,"[""English Language"",""Mathematics""]",All Provinces,
272,Zimbabwe Open University,Certificate in Entrepreneurship,Business,[],0,1 year,"Business ideas, funding and small business mgt",Business & Finance,1773752031,5,0,certificate,"[""English Language""]",All Provinces,
273,Bulawayo Polytechnic,National Diploma in Chemical Technology,Science,[],0,3 years,"Industrial chemistry, QC and lab analysis",Science,1773752031,5,0,diploma,"[""English Language"",""Mathematics"",""Science""]",Bulawayo,
274,Bulawayo Polytechnic,National Diploma in Environmental Health,Medicine,[],0,3 years,"Sanitation, pollution control and food safety",Healthcare,1773752031,5,0,diploma,"[""English Language"",""Mathematics"",""Science""]",Bulawayo,
275,Harare Polytechnic,National Diploma in Film & Video Production,Arts,[],0,3 years,"Camera, editing, sound and lighting",Media & Communication,1773752031,5,0,diploma,"[""English Language""]",Harare,
276,Harare Polytechnic,National Diploma in Office Management,Business,[],0,3 years,"Reception, minutes, filing and event coordination",Business & Finance,1773752031,5,0,diploma,"[""English Language"",""Mathematics""]",Harare,
277,Kwekwe Polytechnic,National Diploma in Welding & Fabrication,Engineering,[],0,3 years,"Arc welding, blueprint reading and metal fab",Engineering,1773752031,5,0,diploma,"[""English Language"",""Mathematics"",""Science""]",Kwekwe,
278,Kwekwe Polytechnic,National Diploma in Refrigeration & Aircon,Engineering,[],0,3 years,"HVAC systems, refrigerants and repair",Engineering,1773752031,5,0,diploma,"[""English Language"",""Mathematics"",""Science""]",Kwekwe,
279,Masvingo Polytechnic,National Diploma in Business Computing,Technology,[],0,3 years,"Spreadsheets, databases and office IT",Technology,1773752031,5,0,diploma,"[""English Language"",""Mathematics""]",Masvingo,
280,Masvingo Polytechnic,National Diploma in Hospitality & Catering,Business,[],0,3 years,"Food prep, service, hygiene and menu planning",Business & Finance,1773752031,5,0,diploma,"[""English Language"",""Mathematics""]",Masvingo,
281,Solusi University,BSc Business Management,Business,"[""Mathematics"",""Accounts""]",6,4 years,"Leadership, ethics and organizational behavior",Business & Finance,1773752031,5,2,degree,"[""English Language"",""Mathematics""]",Bulawayo,
282,Solusi University,BA Theology & Ministry,Humanities,"[""English Literature"",""History""]",5,4 years,"Pastoral counseling, preaching and biblical studies",Social Sciences,1773752031,5,2,degree,"[""English Language""]",Bulawayo,
283,Solusi University,BSc Agriculture,Agriculture,"[""Biology"",""Chemistry""]",6,4 years,"Sustainable farming, agribusiness and livestock",Agriculture,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Bulawayo,
284,Solusi University,BSc Computer Science,Technology,"[""Mathematics"",""Physics""]",7,4 years,"Programming, databases and IT ethics",Technology,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Bulawayo,
285,Solusi University,BSc Psychology,Social Sciences,"[""Biology"",""English Literature""]",6,4 years,"Counseling, research methods and mental health",Healthcare,1773752031,5,2,degree,"[""English Language""]",Bulawayo,
286,Bulawayo Teachers' College,Diploma in Primary Education,Education,[],0,3 years,General primary teaching with practicals,Education,1773752031,5,0,diploma,"[""English Language"",""Mathematics""]",Bulawayo,
287,Bulawayo Teachers' College,Diploma in Early Childhood Development,Education,[],0,3 years,"ECD methods, play and child assessment",Education,1773752031,5,0,diploma,"[""English Language"",""Mathematics""]",Bulawayo,
288,Gweru Teachers' College,Diploma in Secondary Education (Maths),Education,[],0,3 years,"Teaching mathematics, lesson planning and assessment",Education,1773752031,5,0,diploma,"[""English Language"",""Mathematics"",""Science""]",Gweru,
289,Gweru Teachers' College,Diploma in Secondary Education (English),Education,[],0,3 years,"Literature, grammar and composition teaching",Education,1773752031,5,0,diploma,"[""English Language"",""Mathematics""]",Gweru,
290,Mutare Teachers' College,Diploma in ICT in Education,Education,[],0,3 years,"EdTech, digital resources and classroom software",Education,1773752031,5,0,diploma,"[""English Language"",""Mathematics""]",Mutare,
291,Morgenster Teachers' College,Diploma in Secondary Education (Science),Education,[],0,3 years,"Biology, Chemistry and practical teaching",Education,1773752031,5,0,diploma,"[""English Language"",""Mathematics"",""Science""]",Masvingo,
292,United College of Education,Diploma in Primary Education,Education,[],0,3 years,"Multi-grade teaching, literacy and numeracy",Education,1773752031,5,0,diploma,"[""English Language"",""Mathematics""]",Bulawayo,
293,United College of Education,Diploma in Special Education,Education,[],0,3 years,"Inclusion, assistive tech and learning disabilities",Education,1773752031,5,0,diploma,"[""English Language"",""Mathematics""]",Bulawayo,
294,NUST,BSc Software Engineering,Technology,"[""Mathematics"",""Physics""]",10,4 years,"Agile development, testing and project management",Technology,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Bulawayo,
295,NUST,BSc Architecture,Engineering,"[""Mathematics"",""Physics""]",12,5 years,"Design, building technology and environmental science",Engineering,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Bulawayo,
296,UZ,BSc Geography & Environmental Science,Science,"[""Geography"",""Biology""]",7,4 years,"Climate, land use and resource management",Agriculture,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Geography""]",Harare,
297,UZ,BSc Politics & Public Management,Social Sciences,"[""History"",""English Literature""]",6,4 years,"Governance, policy analysis and elections",Social Sciences,1773752031,5,2,degree,"[""English Language""]",Harare,
298,Midlands State University,BSc Forensic Accounting,Business,"[""Mathematics"",""Accounts""]",9,4 years,"Fraud detection, auditing and legal procedures",Business & Finance,1773752031,5,2,degree,"[""English Language"",""Mathematics""]",Gweru,
299,Chinhoyi University of Technology,BSc Digital Forensics,Technology,"[""Mathematics"",""Physics""]",9,4 years,"Cybercrime investigation, evidence recovery and law",Technology,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Chinhoyi,
300,Harare Institute of Technology,BSc Actuarial Science,Business,"[""Mathematics"",""Statistics""]",13,4 years,"Risk modeling, life contingencies and finance",Business & Finance,1773752031,5,2,degree,"[""English Language"",""Mathematics""]",Harare,
301,Lupane State University,BSc Mining Engineering,Engineering,"[""Mathematics"",""Physics""]",11,5 years,"Rock mechanics, ventilation and mine planning",Engineering,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Lupane,
302,Africa University,BSc Informatics,Technology,"[""Mathematics"",""Accounts""]",7,4 years,"Health informatics, e-government and data systems",Technology,1773752031,5,2,degree,"[""English Language"",""Mathematics""]",Mutare,
303,Great Zimbabwe University,BSc Library & Museum Studies,Humanities,"[""History"",""English Literature""]",6,4 years,"Archives, curation and digital preservation",Social Sciences,1773752031,5,2,degree,"[""English Language""]",Masvingo,
304,TelOne Centre for Learning,Diploma in Network Administration,Technology,[],0,3 years,"Routing, switching, server config and security",Technology,1773820276,5,0,diploma,"[""English Language"",""Mathematics"",""Science""]",Harare,
305,TelOne Centre for Learning,Short Course in MS Office,Technology,[],0,1 month,"Word, Excel, PowerPoint and Outlook",Technology,1773820276,0,0,short_course,"[""None""]",Online,
306,Bulawayo Polytechnic,National Diploma in Automotive Engineering,Engineering,[],0,3 years,"Engine repair, diagnostics and electronics",Engineering,1773752031,5,0,diploma,"[""English Language"",""Mathematics"",""Science""]",Bulawayo,
307,Harare Polytechnic,National Diploma in Print Media,Arts,[],0,3 years,"Offset printing, prepress and finishing",Media & Communication,1773752031,5,0,diploma,"[""English Language""]",Harare,
308,Kwekwe Polytechnic,National Diploma in Energy Engineering,Engineering,[],0,3 years,"Power generation, renewables and efficiency",Engineering,1773752031,5,0,diploma,"[""English Language"",""Mathematics"",""Science""]",Kwekwe,
309,Masvingo Polytechnic,National Diploma in Agribusiness,Business,[],0,3 years,"Farm management, marketing and value addition",Business & Finance,1773752031,5,0,diploma,"[""English Language"",""Mathematics""]",Masvingo,
310,Catholic University of Zimbabwe,BSc Procurement,Business,"[""Mathematics"",""Accounts""]",7,4 years,"Purchasing, contracts and supply chain law",Business & Finance,1773752031,5,2,degree,"[""English Language"",""Mathematics""]",Harare,
311,Womens University in Africa,BSc Monitoring & Evaluation,Social Sciences,"[""Mathematics"",""English Literature""]",6,4 years,"Logframes, indicators and impact assessment",Social Sciences,1773752031,5,2,degree,"[""English Language"",""Mathematics""]",Harare,
312,Reformed Church University,BCom Cooperatives Management,Business,"[""Mathematics"",""Accounts""]",5,4 years,"Member-based organizations, governance and finance",Business & Finance,1773752031,5,2,degree,"[""English Language"",""Mathematics""]",Masvingo,
313,Bindura University of Science Education,BSc Physics with Electronics,Science,"[""Mathematics"",""Physics""]",10,4 years,"Circuits, telecommunications and instrumentation",Technology,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Bindura,
314,Midlands State University,BSc Speech Therapy,Medicine,"[""Biology"",""English Literature""]",9,4 years,"Communication disorders, audiology and rehabilitation",Healthcare,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Gweru,
315,NUST,BSc Construction Management,Engineering,"[""Mathematics"",""Physics""]",9,4 years,"Site management, building codes and safety",Engineering,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Bulawayo,
316,UZ,BSc Sociology,Social Sciences,"[""English Literature"",""History""]",6,4 years,"Social inequality, family and community research",Social Sciences,1773752031,5,2,degree,"[""English Language""]",Harare,
317,Chinhoyi University of Technology,BSc Security Management,Business,"[""Mathematics"",""Accounts""]",7,4 years,"Corporate security, risk assessment and investigations",Business & Finance,1773752031,5,2,degree,"[""English Language"",""Mathematics""]",Chinhoyi,
318,Harare Institute of Technology,BSc Bioinformatics,Science,"[""Biology"",""Chemistry""]",10,4 years,"Genomics, drug design and computational biology",Technology,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Harare,
319,Lupane State University,BSc Soil Science,Agriculture,"[""Biology"",""Chemistry""]",6,4 years,"Fertility, conservation and land management",Agriculture,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Lupane,
320,Africa University,BSc Development Studies,Social Sciences,"[""History"",""Geography""]",6,4 years,"NGOs, project cycles and sustainable goals",Social Sciences,1773752031,5,2,degree,"[""English Language""]",Mutare,
321,Great Zimbabwe University,BSc Media & Society,Arts,"[""English Literature"",""History""]",6,4 years,"Media effects, ethics and digital culture",Media & Communication,1773752031,5,2,degree,"[""English Language""]",Masvingo,
322,TelOne Centre for Learning,Diploma in Database Administration,Technology,[],0,3 years,"SQL, backup/recovery and performance tuning",Technology,1773820276,5,0,diploma,"[""English Language"",""Mathematics"",""Science""]",Harare,
323,Solusi University,BCom Marketing,Business,"[""Mathematics"",""Accounts""]",6,4 years,"Consumer behavior, branding and digital strategy",Business & Finance,1773752031,5,2,degree,"[""English Language"",""Mathematics""]",Bulawayo,
324,Solusi University,BSc Environmental Science,Science,"[""Biology"",""Chemistry""]",7,4 years,"Pollution control, EIA and conservation",Agriculture,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Bulawayo,
325,Bulawayo Polytechnic,National Diploma in Applied Biology,Science,[],0,3 years,"Microbiology, ecology and lab techniques",Science,1773752031,5,0,diploma,"[""English Language"",""Mathematics"",""Science""]",Bulawayo,
326,Harare Polytechnic,National Diploma in Social Work,Social Sciences,[],0,3 years,"Casework, community outreach and counseling",Social Sciences,1773752031,5,0,diploma,"[""English Language""]",Harare,
327,Kwekwe Polytechnic,National Diploma in Project Management,Business,[],0,3 years,"Planning, budgeting and reporting",Business & Finance,1773752031,5,0,diploma,"[""English Language"",""Mathematics""]",Kwekwe,
328,Masvingo Polytechnic,National Diploma in Early Childhood Education,Education,[],0,3 years,"Play-based learning, child safety and assessment",Education,1773752031,5,0,diploma,"[""English Language"",""Mathematics""]",Masvingo,
329,Mutare Teachers' College,Diploma in Primary Education (Shona Medium),Education,[],0,3 years,"Bilingual teaching, local curriculum and literacy",Education,1773752031,5,0,diploma,"[""English Language"",""Mathematics""]",Mutare,
330,Gweru Teachers' College,Diploma in Secondary Education (Commerce),Education,[],0,3 years,"Accounting, business studies and entrepreneurship",Education,1773752031,5,0,diploma,"[""English Language"",""Mathematics""]",Gweru,
331,Zimbabwe Open University,BSc Youth Development,Social Sciences,[],0,4 years,"Youth policy, empowerment and leadership",Social Sciences,1773752031,5,2,degree,"[""English Language""]",All Provinces,
332,Zimbabwe Open University,BSc Disaster & Risk Management,Social Sciences,[],0,4 years,"Early warning, recovery and humanitarian aid",Social Sciences,1773752031,5,2,degree,"[""English Language"",""Geography""]",All Provinces,
333,NUST,BSc Land Surveying,Engineering,"[""Mathematics"",""Physics""]",10,4 years,"GPS, cadastral mapping and geodesy",Engineering,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Bulawayo,
334,UZ,BSc Crop Protection,Agriculture,"[""Biology"",""Chemistry""]",8,4 years,"Pest control, plant pathology and integrated mgt",Agriculture,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Harare,
335,Midlands State University,BCom Real Estate,Business,"[""Mathematics"",""Accounts""]",7,4 years,"Property valuation, agency and facilities mgt",Business & Finance,1773752031,5,2,degree,"[""English Language"",""Mathematics""]",Gweru,
336,Chinhoyi University of Technology,BSc Food Science & Tech,Science,"[""Biology"",""Chemistry""]",8,4 years,"Processing, safety and quality systems",Agriculture,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Chinhoyi,
337,Harare Institute of Technology,BSc Materials Engineering,Engineering,"[""Physics"",""Chemistry""]",11,4 years,"Metals, polymers, ceramics and composites",Engineering,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Harare,
338,Africa University,BSc Peace & Conflict Studies,Social Sciences,"[""History"",""English Literature""]",7,4 years,"Mediation, reconciliation and peacebuilding",Social Sciences,1773752031,5,2,degree,"[""English Language""]",Mutare,
339,Great Zimbabwe University,BCom Retail Management,Business,"[""Mathematics"",""Accounts""]",6,4 years,"Merchandising, store ops and customer service",Business & Finance,1773752031,5,2,degree,"[""English Language"",""Mathematics""]",Masvingo,
340,TelOne Centre for Learning,Advanced Diploma in Cybersecurity,Technology,[],0,2 years,"Penetration testing, SOC and incident response",Technology,1773820276,5,0,diploma,"[""Diploma in IT""]",Harare,
341,Bindura University of Science Education,BSc Sports Science,Science,"[""Biology"",""Physical Education""]",6,4 years,"Coaching, physiology and sports psychology",Healthcare,1773752031,5,2,degree,"[""English Language"",""Mathematics""]",Bindura,
